,sm,sm_uncertainty,flag,freqbandID,dnflag,mode,sensor,t0,_datetime
1978-11-01,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-02,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-03,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-04,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-05,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-06,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-07,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-08,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-09,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-10,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-11,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-12,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-13,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-14,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-15,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-16,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-17,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-18,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-19,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-20,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-21,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-22,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-23,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-24,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-25,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-26,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-27,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-28,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-29,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-11-30,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-12-01,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-12-02,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-12-03,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-12-04,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-12-05,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-12-06,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-12-07,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-12-08,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-12-09,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-12-10,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-12-11,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-12-12,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-12-13,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-12-14,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-12-15,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1978-12-16,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
